"product_id","shelf_location","stock_quantity"
"1","A1","50"
"2","B2","75"
"3","A2","100"
"4","B3","125"
"5","A3","150"
"6","B4","175"
"7","A4","200"
"8","B5","225"
"9","A5","250"
"10","B6","275"
"11","A6","300"
"12","B7","325"
"13","A7","350"
"14","B8","375"
"15","A8","400"
"16","B9","425"
"17","A9","450"
"18","B10","475"
"19","A10","500"
"20","B11","525"
"21","A11","550"
"22","B12","575"
"23","A2","600"
"24","B3","625"
"25","A3","650"
"26","A3","675"
"27","B4","700"
"28","A4","725"
"29","A4","750"
"30","A4","775"
